ts	phase	decision	why	evidence	result
2026-08-31T18:36:59-04:00	frame	Treat ROADMAP priority 27 as one bounded optional integration contract	The roadmap and repository map name six companion owners and forbid hard dependencies or scope absorption	ROADMAP.md:317; docs/REPOSITORY_MAP.md:34	implementation started from clean worktree
2026-08-31T18:49:07-04:00	design	Publish loader-neutral v1 records and bounded registries with a thin NeoForge authority facade	This keeps companion data and callbacks outside attachments, VMs, renderers, and world mutation while retaining server-thread policy checks	docs/INTEGRATION_API_V1.md	contract frozen for implementation
2026-08-31T19:18:03-04:00	gametest-failure	Normalize internal spell labels before placing them in the identifier-only story-event subject field	The first 53-test Hermes run crashed when an existing priority-24 label containing spaces reached StoryEvent validation	run/gametest/crash-reports/crash-2026-08-31_19.18.03-server.txt	added bounded normalization while retaining strict neutral-contract validation
2026-08-31T19:19:15-04:00	gametest-failure	Use the public implicit constructor required by NeoForge's instance GameTest discovery	The second Hermes run discovered all 53 tests but reflection could not instantiate the priority-27 holder because its explicit constructor was private	GameTestServer reported the same access failure for all six new tests	removed the private constructor; no production behavior changed
2026-08-31T19:20:09-04:00	gametest-failure	Isolate the six API GameTests by batch and exercise both PvP-denied and PvP-enabled disruption paths	Two synchronous tests omitted explicit success, the combat test correctly encountered the GameTest server's disabled-PvP policy, and shared registries should not be exercised concurrently	third Hermes run: three priority-27 failures, all preexisting 47 tests passed	added explicit success, policy transition/restore, and separate batches
2026-08-31T19:21:45-04:00	gametest-failure	Correct the one non-symmetric GameTest value assertion to use NeoForge's actual-then-expected parameter order	The fourth Hermes run passed 52 of 53 tests; the provider returned Ice correctly but the assertion parameters made Ice the reported actual and the login fallback the expected value	GameTestServer: only naturalproviderorderingfallbackandcastmodifiersstaybounded failed	swapped the provider assertion operands
2026-08-31T19:22:43-04:00	gametest-failure	Register the Origins provider before constructing the mock player	The fifth Hermes run proved permanent identity semantics: mock-player login assigned the deterministic fallback before the provider was registered, so a later API read correctly refused to reroll it	GameTestServer: 52/53 passed; stored Lightning remained permanent	moved provider registration ahead of login and creates the fallback player only after unregistering
2026-08-31T19:23:59-04:00	gametest-success	Accept the six production priority-27 cases as the contract's live NeoForge proof	The final candidate exercised metadata, snapshot/unlock, provider/cast, disruption, loaded mana query, and story-listener paths beside every preexisting production case	Hermes GameTestServer: All 53 required tests passed; BUILD SUCCESSFUL	production GameTest gate passed
2026-08-31T19:35:36-04:00	visual	Accept the second 12-second Hermes recording and retain the first only as negative timing evidence	The first capture began after the priority-27 chat faded; the second began on player join and preserved the transient authored lesson	visual-evidence/hermes-window-20260831T233524Z.mp4; source frames at 6s and 10s	API-v1 title, six domains, no-dependency statement, and bounded hook summary readable; staged structure and HUD remained visible
2026-08-31T19:36:10-04:00	shutdown	Close the Hermes-only runtime gate without requesting a Main-PC launch	Hermes directly proved the integration checkpoint and visual contract, so the approval-only NixOS gate was unnecessary	vector-regnum-dev-client.service=inactive; vector-regnum-dev-server.service=inactive; port25575=free	runtime cleanly closed
2026-08-31T19:42:58-04:00	verification	Accept the final synchronized candidate after correcting two wrapper-side invocation mistakes	The focused verifier and overlay checker must execute inside the guarded Hermes mirror; their accidental NixOS invocations exited before useful work because of Java 8 and an explicit host guard, respectively	Hermes Java-21 build: 320 JUnit tests; verifier: PRIORITY27_VERIFY_OK; GameTestServer: 53/53; client: priority_27 marker plus 59 emitters; overlay: HERMES_DIFF_CHECK_OK	all required Hermes gates passed; no NixOS Minecraft or successful local Gradle task ran
2026-09-01T01:24:25-04:00	cross-model-review	Accept all three actionable findings from the OpenAI Codex Luna/max read-only audit	The candidate must bound work rather than only positive results, evaluate a stateful cast provider once per admitted cast, and give every cast a unique delivery key	VectorRegnumApi query loop; LibrarySpellService cast path; CastingResourceService.storyEventId; Priority27GameTests; LibrarySpellIntegrationContractTest	fixed candidate now charges zero/unrecognized block entities to the 256-entry budget, leaves the VM admission quote as the sole cast-time provider evaluation, and uses reservation/random UUIDs per cast
2026-09-01T01:27:12-04:00	gametest-failure	Count every in-range block entity without assuming the GameTest template contains only the two authored mana entries	The first post-review run correctly reported five examined candidates because three framework block entities share the query region; mana totals remained correct	GameTestServer: 52/53 passed; only manaregionqueryreadsloadedentrieswithoutforceloading failed its old exact-count assertion	replaced the brittle exact count with a bounded lower/upper assertion while retaining the 257-entry dense truncation proof
2026-09-01T01:33:30-04:00	verification	Accept the corrected post-review automated candidate	The final tree must prove all three audit fixes without regressing the complete suite	Hermes Java-21 clean build: 320 JUnit tests; GameTestServer: All 53 required tests passed; scripts/verify-priority27.sh: PRIORITY27_VERIFY_OK	post-review automated ladder passed
2026-09-01T01:33:31-04:00	visual	Accept the post-review 12-second Hermes recording	A fresh client checkpoint after the audit fixes keeps the transient authored API lesson readable and proves optional Veil startup	visual-evidence/hermes-window-20260901T053159Z.mp4; timestamped contact sheet plus source frame at 6s	API-v1 title, all six domains, no-dependency statement, and bounded hook summary readable; client loaded 59 Quasar emitters
2026-09-01T01:33:32-04:00	shutdown	Close the post-review Hermes runtime gate	The fresh client evidence made an approval-only NixOS launch unnecessary	vector-regnum-dev-client.service=inactive; vector-regnum-dev-server.service=inactive; port25575=free	final runtime cleanly closed
2026-09-01T01:35:02-04:00	cross-model-followup	Accept the OpenAI Codex Luna/max read-only re-audit with no confirmed production defects	Independent inspection confirmed that all three earlier findings are corrected in the final source	VectorRegnumApi.java:282-296; LibrarySpellService.java:78-95; NeoForgeVmService.java:329-372; CastingResourceService.java:79-83	no blocker; retain future test opportunities for a stateful library-cast provider, funded same-tick story-event correlation, and specifically unrecognized dense mana candidates
