ts	phase	decision	why	evidence	result
2026-08-22T00:00:00-04:00	frame	treat priority 21 as identity, affinity, migration, gameplay, presentation, and documentation work	the roadmap requires an end-to-end playable path rather than an enum rename	ROADMAP.md:193	inventory in progress
2026-08-22T00:00:01-04:00	delegation	use OpenAI Luna agents only for bounded read-only inventories	the user excluded non-OpenAI subagents and the handoff requires bounded delegation	AGENTS.md:42	five non-overlapping inventories started
2026-08-22T01:52:12-04:00	audit	mark the first two timestamps as initialization placeholders	they were written before reading the system clock and must not be mistaken for exact event times	docs/PRIORITY_21_DECISIONS.tsv:2	actual timed entries begin with this row
2026-08-22T01:55:00-04:00	design	store permanent natural identity separately from mutable channel attunement	one mutable legacy field cannot satisfy permanence and attunement at the same time	PlayerAttachmentContent.java:35	separate schema-3 natural element planned
2026-08-22T01:55:01-04:00	design	use a JSON-backed explicit symmetric matrix with ring-distance ordinary bands, Void at the opposed band, and Arcane at the neutral band	the design fixes every pair at 100, 75, 50, or 25 while keeping Arcane below a natural match	docs/SMP_INTEGRATION_DECISIONS.md:64	implementation assigned
2026-08-22T01:55:02-04:00	compatibility	canonicalize frost input and stored player strings to ice while preserving old presentation numeric slot 2	old circles and traces should decode without keeping Frost as an active element	PresentationElement.java:4	migration alias and stable codes planned
2026-08-22T02:12:12-04:00	correction	use the curated explicit symmetric matrix instead of deriving relationships from enum ring distance	the roadmap requires data-driven bands but does not define circular topology; focused tests exposed that the generated ring resource contradicted the curated gameplay contract	ManaDrawRulesTest.java:25	resource and contract test corrected
2026-08-22T02:15:11-04:00	integration	apply cast cost and fault stability from permanent natural identity to the spell element; retain mutable channel affinity for source conversion	otherwise players could retune before every spell and permanent natural identity would have no mechanical effect	docs/SMP_INTEGRATION_DECISIONS.md:64	cast and library quotes use the natural element while source draw uses channel attunement
2026-08-22T02:56:25-04:00	verification	accept the priority-21 automated and Hermes gates	clean Java 21 tests/build, the real GameTest server, guarded remote parity, and both render backends exercised the final implementation	build/test-results/test; visual-evidence/hermes-window-20260822T065044Z.png; visual-evidence/hermes-window-20260822T065259Z.png	229 JUnit tests and all 18 GameTests passed; Veil loaded 59 emitters; authoritative logs emitted count=14; inspected Veil and built-in frames showed no missing textures; both Hermes units stopped and port 25575 freed
2026-08-22T03:17:52-04:00	review-fix	move all library source draw/spend behind VM admission and add decode-only blockstate Frost compatibility	OpenAI Luna found rejected library casts could debit sources and old chunk palettes could not decode affinity=frost	LibrarySpellService.java; ManaAffinity.java; ManaCrystalNodeBlockEntity.java; ManaReservoirBlockEntity.java	library casting now has one transactional owner; legacy blockstates decode then converge to Ice on load
2026-08-22T03:17:52-04:00	content	map Ender Pearl to Space and Ender Eye to Void intentionally	pearls express ordinary spatial transport while the crafted eye is the rarer Void tuning reagent	ManaTuningItems.java; TutorialGuide.java; field_manual.json	all 14 one-to-one tuning items are documented and tested
2026-08-22T03:40:47-04:00	review-fix	preflight the complete remote-source draw before committing any charge or player mana	OpenAI Luna found an insufficient source could be partially consumed before ensureAvailable returned false	ManaData.java; VectorRegnumGameTests.insufficientRemoteSourceDrawIsAtomic	the real-server regression failed before the fix and all 19 GameTests passed after the atomic preflight and commit
2026-08-22T13:52:58-04:00	visual-fix	remove dark text shadows, scale complete illustration sources, and proportionally cap compact illustrations at 80 logical pixels	direct Main-PC screenshots reproduced duplicate glyph shadows, top-left texture cropping, and an opening card extending below the compact viewport	FieldManualScreen.java; FieldManualVisualPolicyTest.java; visual-evidence/guide-audit/00-inventory.png; visual-evidence/guide-audit/05-final-guide.png	three regressions failed before their fixes; the final manual showed clean text and the complete first plate inside the opening viewport
2026-08-22T13:52:59-04:00	verification	accept priority 21 as a coherent end-to-end alpha pass	the canonical item requires gameplay, migration, failure bounds, automation, guarded remote parity, and direct local visual evidence	build/test-results/test; run/gametest/logs/latest.log; visual-evidence/hermes-window-20260822T175002Z.png; visual-evidence/guide-audit/05-final-guide.png	235 JUnit tests and all 19 GameTests passed; Hermes and Main-PC artifacts were inspected; all owned units stopped and port 25575 was free
2026-08-22T14:00:00-04:00	evidence-integrity	record the Main-PC closeout as split evidence without fabricating the wizard output	Ian explicitly reported the corrected final artifact “all good”; the earlier visual exercise covered the gameplay/accessibility checklist, while the later rendering-only change was directly inspected through the real launcher	user attestation in session; visual-evidence/guide-audit/00-inventory.png; visual-evidence/guide-audit/05-final-guide.png; local launcher logs	no main-pc-priority21-visual-attestation.txt was synthesized; the decision log states exactly which human and direct inspection evidence completed the gate
