ts	phase	decision	why	evidence	result
2026-08-28T00:45:09Z	framing	Treat priority 23 as one durable contract per successful continuing cast	A cast may produce several handles, but its quote contains one bounded upkeep commitment and must settle atomically	ROADMAP.md:228; docs/SMP_INTEGRATION_DECISIONS.md:102	implemented
2026-08-28T00:53:49Z	design	Prepay upkeep at admission and transfer the exact claim only when continuing handles commit	Offline reconciliation must never pull surprise mana from a player; casts with no continuing effect must not pay upkeep	CastingResourceService.ActiveReservation; PersistentEffectService.Batch	unused claims refund and committed claims transfer once
2026-08-28T01:05:00Z	persistence	Store schema-1 contracts in per-dimension SavedData with bounded opaque handles	Ownership, endpoints, balances, and cleanup intent must survive restart without process-local state	PersistentEffectContract; PersistentEffectSavedData	malformed input fails closed and empty/full round-trips pass
2026-08-28T01:10:00Z	reconciliation	Debit exact elapsed cadence while loaded, pause unloaded chunks, and prevent offline owners from driving mutations	Server time and chunk availability need explicit policy so effects cannot become free or touch unloaded worlds	PersistentEffectLedger; PersistentEffectService	loaded, unloaded, and offline production GameTests pass
2026-08-28T01:14:00Z	cleanup	Persist terminal state before world cleanup and make every cleanup path idempotent	A crash or retry between state transition and side effect must converge rather than duplicate or orphan effects	PersistentEffectService; managed block scheduled ticks	natural cleanup executes once across repeated ticks
2026-08-28T01:16:45Z	failure	Persist deterministic collapse before emitting bounded Wild Magic and removing the contract	Unpaid or non-concluding magic must not remain free, and restart must not reroll the outcome	PersistentEffectContract.collapseSeed; Priority23GameTests	underpaid collapse and seed remain stable in production GameTest
2026-08-28T01:20:00Z	teaching	Expose live contracts through a command and bump the Field Manual to v10	Players need an auditable view of endpoints, state, handles, and prepaid balance	VectorRegnumCommands; TutorialGuide; field_manual.json; PonderLessonLibrary	command, guide, Ponder, and version tests pass
2026-08-28T05:20:00Z	visual regression	Remove nondeterministic Mage Light from the automated checkpoint and add a dedicated 40-tick persistent-effect marker	The first live preflight had no guaranteed raycast target and could crash before persistence became inspectable	DevShowcaseController; guarded Hermes client	checkpoint reliably stages Aegis, Featherfall, and Redstone Oracle
2026-08-28T05:28:00Z	codec regression	Fix status-handle decoding at eight fields and test the real Batch encoder/decoder path	The first live persistence run quarantined status handles because a synthetic fixture did not exercise the production codec boundary	PersistentEffectService.StatusHandle; Priority23GameTests.persistentBatchRoundTripsStatusHandleAndDebitsLoadedUpkeep	strengthened production test passed in the 29-test matrix
2026-08-28T05:34:50Z	visual	Require the timed frame to show the three contracts, endpoints, prepaid balances, active particles, and remaining escrow	A screenshot file or marker alone does not prove the player-visible checkpoint	visual-evidence/hermes-window-20260828T062842Z.png; Hermes journal	direct inspection matched three contracts and 12.15 mana remaining with no quarantine
2026-08-28T06:18:00Z	hardening	Persist an independent deadline inside every opaque handle	One cast-level contract may own effects with different lifetimes; the shorter effect must conclude without waiting for the longest	PersistentEffectService handle codec; mixed 20/40-tick Priority23GameTest	shorter block cleaned while the longer status and contract remained active
2026-08-28T06:22:00Z	crash recovery	Add a durable COLLAPSE_EMITTED state between deterministic Wild Magic and cleanup	Persisting CLEANED before emission could silently lose Wild Magic after a crash, while retrying COLLAPSED forever could spam it	PersistentEffectLedger state machine; SavedData restart round-trip; unpaid production GameTest	emission may replay deterministically only across the narrow crash boundary and normal cleanup never re-emits
2026-08-28T06:25:00Z	codec compatibility	Decode pre-checkpoint schema-1 handles by falling back to their contract endpoint	The isolated Hermes world already contained development-era records without per-handle deadlines	PersistentEffectService legacy decoder; final existing-world client restart	final restart restored persistence with no reset or quarantine
2026-08-28T05:37:56Z	acceptance	Close priority 23 only after the full Hermes automated and visual ladder plus clean service shutdown	The roadmap requires an end-to-end playable path, bounded failure behavior, automation, and direct visual confirmation	261 JUnit tests; 29 production GameTests; verify-priority23; Hermes overlay diff; inspected checkpoint	accepted as a coherent end-to-end alpha pass; both units inactive and port 25575 free
2026-08-29T06:41:20Z	review	Reopen the priority-23 closeout for pre-halt force and save-failure defects	The Luna-max follow-up found that forces paused until VM halt and a failed save left a free in-memory contract	NeoForgeVmService; PersistentEffectService; p23_final_review	blocking review findings accepted
2026-08-29T06:41:20Z	hardening	Tick uncommitted force handles during VM delays and preserve their absolute endpoint at commit	A continuing effect must run for its declared lifetime even when its owning VM has not halted	PersistentEffectService.Batch.tickPending; Priority23GameTests.continuingForceTicksBeforeDelayedVmHalts	30 production GameTests passed on Hermes
2026-08-29T06:41:20Z	crash recovery	Restore and re-save the prior ledger when synchronous registration save fails	Escrow may refund only after the failed handoff has removed the candidate contract from memory and the next durable save	PersistentEffectService.persistRegistration; PersistentEffectSavedDataTest.failedRegistrationSaveRestoresAndPersistsThePreviousLedger	262 JUnit tests passed on Hermes
2026-08-29T06:46:00Z	review	Close both reopened findings after a second Luna-max source review	Fresh review found the force handoff, event order, compensating save, and direct regressions sufficient	p23_final_review; PersistentEffectService; NeoForgeVmService; Priority23GameTests; PersistentEffectSavedDataTest	no blocking or material findings remain
2026-08-29T06:46:00Z	visual	Accept the focused final Hermes frame after rejecting server-window and loading-screen captures	The visible client frame must show the actual three contract lines, endpoints, balances, escrow total, and active scene	visual-evidence/hermes-window-20260829T064530Z.png; Hermes journal	59 Quasar particles loaded; no reset or quarantine; units stopped; port 25575 free
2026-08-29T06:46:00Z	acceptance	Close priority 23 after reviewer hardening and the repeated full Hermes ladder	The reopened lifecycle and save-handoff defects now have direct automated proof and final runtime evidence	262 JUnit tests; 30 production GameTests; verify-priority23; handoff guard; Hermes overlay diff; inspected checkpoint	accepted as a coherent end-to-end alpha pass; priority 24 remains next
